,Unnamed: 0,location,Radius,covered_nodes,Total_nodes_covered
28,28,"[-61.99456162881193, -852.8201265508899]",210.49027019011,"['65458552', '65480714', '256566598', '256566603', '287476095', '287476202', '287476573', '354739994', '354740028', '956657986', '1768361413', '1768361415', '1768361416', '1768361417', '1768361418', '1768361419', '1768361420', '1768361421', '1768361423', '1768361425', '1768361426', '1768361427', '1768361428', '1768361429', '1768361431', '1782352092', '1782352093', '1782352094', '1782352096', '1782352097', '1782352099', '1782352102', '1782352104', '1782352105', '2572379170', '2572379174', '2572379176', '2572379179', '4742742442', '5060846130', '5060846131', '5060846132', '5060846133', '5060846154', '5941921912', '5941921916', '6294392310', '6294462811', '6294462813', '6331490369', '6331490370', '7058931002', '7058931007', '8910620815']",54
29,29,"[775.9494805835054, 541.1248712538207]",210.72435638814463,"['65546899', '256568778', '256568779', '338518155', '338518161', '338518162', '663153661', '663153663', '847469085', '847469103', '847469105', '847469108', '847469304', '847469449', '1434767658', '1434767660', '1434767686', '1434767708', '4886811310', '4886811315', '6113747124', '6308631172', '6308631174', '6308634385', '6308634386', '6308634388', '6308634392', '6477378136', '6541218040', '6541218042', '6541218050', '6661724382', '7129243096', '7129243097', '7129243098', '7129243103', '7129243111', '8910447826', '8910447827']",39
30,30,"[-557.6665355685802, 743.5482484999009]",210.6611598583019,"['314070304', '1758054026', '1758054044', '1758054068', '2048603388', '2048603397', '2393501800', '2393501810', '2393501811', '3317804537', '3317804541', '3317804545', '3695987107', '3695987108', '3695987109', '3695987111', '3695987117', '3695987727', '3695987729', '3695987731', '3695987732', '3695987733', '4913255757', '4913255762', '4913255765', '4913255766', '4913255770', '4913255779', '4913255784', '4913255786', '4913255798', '4913255799', '4913255800', '4913255801', '4913255802', '4913255803', '4913255806', '4913255807', '4913255808', '4913255809', '4913255810', '5209076490', '6575641447', '6575641449', '6575641456', '7183318053', '7183318060', '7204627936', '7204627937', '7295363007', '7295363008', '7295363009', '7295363010', '7295363011', '7295369836']",55
31,31,"[691.9133070603398, -332.381835962199]",210.34943335567115,"['65392047', '65539592', '354802071', '1330035197', '1330035211', '1330035325', '1757902279', '1758004045', '1758004047', '1758004054', '2572379123', '2572379124', '5417696255', '5771900430', '5774153157', '5852624903', '5852624908', '6608996257', '6608996259', '10089365231', '10089365233', '10089365237']",22
32,32,"[757.5768262236375, 43.604162828903966]",210.7060267255663,"['256568831', '1330035197', '1758004047', '1758004048', '2572535775', '2572535776', '2572535777', '2572535779', '2572535781', '2572535791', '2572535793', '2572535795', '4886811680', '4891201083', '4891201084', '4891201085', '4891201112', '5993666172', '6350370382', '7882604625', '7882604630', '7882604636', '8910620627', '8910620634']",24
33,33,"[931.960878802449, 397.4689712863092]",210.71592312042947,"['65543380', '65586584', '287481892', '847469490', '847469519', '2572535773', '2572535774', '2572535775', '2572535776', '2572535777', '2572535780', '5512507921', '5553784626', '7129243097', '7129243104', '7129243105', '7129243106', '7129243111', '7129243112', '7129243113', '7129243118', '7129243119', '7129243121', '7129243122', '7129243127', '7129243138', '7882604625']",27
34,34,"[-1155.3396441803754, -90.20218854201704]",213.59391788711514,"['65422311', '65565057', '65565059', '65659940', '287472249', '287472352', '427841292', '689473424', '1120952293', '1330035316', '2574077067', '2574077091', '2574077092', '2574077094', '2574077095', '2574077096', '3457085620', '3457085622', '3457085624', '3457085625', '3457085629', '3457085631', '3457085635', '3457085639', '3701906640', '4295590253', '4295590254', '4295590259', '4295590260', '4295590299', '4913257375', '4913257377', '4913257378', '4913257380', '4913257382', '4913257383', '4913257385', '6309355164', '6317078810', '6317078813', '6317078901', '6317096750', '6317111940', '6319242294', '6481408438', '6481408441', '6481599058', '7131526985', '7131526986', '7131527011', '8249775214', '8410920095', '8410920098', '8410920100', '8410920108', '8410920112', '9561828293']",57
35,35,"[195.64628040024832, 368.11682236954323]",206.96028363317734,"['65427084', '65562618', '65562620', '65562622', '65682573', '288023791', '338518144', '518816371', '518816373', '518816383', '518816912', '518816913', '522173590', '522173601', '689485461', '2572526618', '2572526625', '2572526631', '2572526644', '3752867386', '3752867387', '3752869382', '4886811641', '6306972823', '6306972824', '6407657036', '9913605124']",27
36,36,"[-990.5746736760492, -18.816844297794106]",211.49489584151365,"['65559188', '65665821', '65683555', '258983100', '427841291', '427841292', '689471609', '689471688', '689473424', '2574077049', '2574077050', '2574077057', '2574077059', '2574077061', '2574077065', '2574077067', '2574077068', '2574077074', '2574077075', '2574077076', '2574077081', '2574077082', '2574077083', '2574077084', '2574077092', '2574077094', '2574077095', '2574077096', '2986710320', '3457085620', '3457085622', '3457085624', '3457085625', '3457085629', '3457085631', '3457085635', '3457085639', '3701906640', '4913257358', '4913257368', '4913257369', '5714340736', '6309353852', '6309355164', '6317078901', '6318792955', '6319242294', '6481408438', '6481408441', '6481599058', '7131526985', '7131526986', '7131526996', '7131527005', '7131527008', '7131527009', '7131527010', '7131527011', '7131527012', '8410920098', '8410920100']",61
37,37,"[-268.2293737648852, -33.142659765782106]",210.0800584312192,"['65461960', '65682762', '65682860', '275516062', '689476111', '1758054039', '5555953354', '5555953355', '5555953356', '6239344432', '6332452080', '7895480706', '7895480707', '9898608896', '9898608898']",15
38,38,"[375.0775037666901, 824.9204543890492]",201.2843086256998,"['65546898', '288024410', '518814468', '518814480', '518814481', '4820803735', '6352452138', '7933542086']",8
